anuṣṭubh (1,2: pathyā, 3,4: pathyā)	13993
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	752
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	588
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	586
anuṣṭubh (ardham eva: pathyā)	583
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	503
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	485
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	344
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	334
vaṃśastha [12: jtjr]	268
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	126
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	109
upendravajrā [11: jtjgg]	80
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	53
		vaṃśastha [12: jtjr] (? 3 eva pādāḥ yuktāḥ)	38
anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)	37
anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)	37
indravajrā [11: ttjgg]	36
anuṣṭubh (ardham eva: na-vipulā)	34
anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)	33
anuṣṭubh (1,2: bha-vipulā, 3,4: ma-vipulā)	27
puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4	26
anuṣṭubh (ardham eva: ma-vipulā)	22
anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)	22
anuṣṭubh (1,2: ma-vipulā, 3,4: bha-vipulā)	21
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)	20
anuṣṭubh (1,2: bha-vipulā, 3,4: bha-vipulā)	20
anuṣṭubh (1,2: na-vipulā, 3,4: ma-vipulā)	17
anuṣṭubh (ardham eva: bha-vipulā)	16
anuṣṭubh (1,2: ma-vipulā, 3,4: na-vipulā)	14
aparavaktra = [11: nnrlg] 1,3 + [12: njjr] 2,4	9
		upendravajrā [11: jtjgg] (? 2 eva pādāḥ yuktāḥ)	8
		anuṣṭubh (1,2: asamīcīna, 3,4: na-vipulā)	7
		upendravajrā [11: jtjgg] (? 3 eva pādāḥ yuktāḥ)	7
		anuṣṭubh (1,2: ma-vipulā, 3,4: asamīcīna)	7
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	6
		anuṣṭubh (1,2: asamīcīna, 3,4: ma-vipulā)	6
		indravajrā [11: ttjgg] (? 2 eva pādāḥ yuktāḥ)	5
rucirā [13: jBsjg]	5
		anuṣṭubh (1,2: bha-vipulā, 3,4: asamīcīna)	4
anuṣṭubh (1,2: ra-vipulā, 3,4: na-vipulā)	4
praharṣiṇī [13: mnjrg]	4
		anuṣṭubh (1,2: asamīcīna, 3,4: bha-vipulā)	4
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā (ma-gaṇa-pūrvikā!))	3
anuṣṭubh (1,2: bha-vipulā (ma-gaṇa-pūrvikā!), 3,4: pathyā)	3
		indravajrā [11: ttjgg] (? 3 eva pādāḥ yuktāḥ)	3
anuṣṭubh (1,2: ma-vipulā, 3,4: ra-vipulā)	2
anuṣṭubh (ardham eva: ra-vipulā)	2
		upajāti triṣṭubh: ajñātam [11: mtjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	2
		upajāti triṣṭubh: ajñātam [11: ytjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	2
		vaṃśastha [12: jtjr] (? 2 eva pādāḥ yuktāḥ)	2
		mālatī [12: njjr] (? 2 eva pādāḥ yuktāḥ)	2
		upajāti pratiṣṭhā: ajñātam [4: yg], ajñātam [4: rl], ajñātam [4: jg], kanyā [4: mg]	1
		ajñātasamavṛtta [6: sy] (? 2 eva pādāḥ yuktāḥ)	1
		indravaṃśā [12: ttjr] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti pratiṣṭhā: ajñātam [4: jg], ajñātam [4: sg], ajñātam [4: rg], ajñātam [4: Bg]	1
		upajāti triṣṭubh: indravajrā [11: ttjgg], upendravajrā [11: jtjgg], ajñātam [11: Btjgl]	1
		asaṃbādhā [14: mtnsgg] (? 3 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh-jagatī-saṃkara?: ajñātam [11: rnnlg], ajñātam [11: nnrlg], ajñātam [11: rnslg], ajñātam [12: rBns]	1
		upajāti pratiṣṭhā: ajñātam [4: yl], ajñātam [4: rg], ajñātam [4: Bg], ajñātam [4: jl]	1
		ajñātasamavṛtta [11: nnrlg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: Btjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jjjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: ntjgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: jttgg], indravajrā [11: ttjgg]	1
		upajāti anuṣṭubh: ajñātam [8: mngg], ajñātam [8: ysll], ajñātam [8: rslg], ajñātam [8: rrlg]	1
		upajāti pratiṣṭhā: ajñātam [4: jg], ajñātam [4: sg], ajñātam [4: rl] atha vā ajñātasamavṛtta [4: jg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [jt, jr]	1
		upajāti triṣṭubh: ajñātam [11: jjjgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: ytjgg], upendravajrā [11: jtjgg]	1
		ajñātārdhasamavṛtta [jgl, sy]	1
vaiśvadevī [12: mmyy]	1
		upajāti anuṣṭubh: ajñātam [8: srlg], ajñātam [8: tslg], ajñātam [8: mnlg], ajñātam [8: Bsgg]	1
		upajāti pratiṣṭhā: ajñātam [4: yl], ajñātam [4: tg], ajñātam [4: jg], kanyā [4: mg]	1
		upajāti triṣṭubh: ajñātam [11: ntjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jjjgl], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: jjjgl], indravajrā [11: ttjgg]	1
		anuṣṭubh (1,2: ra-vipulā, 3,4: asamīcīna)	1
anuṣṭubh (1,2: ra-vipulā, 3,4: ma-vipulā)	1
		upajāti pratiṣṭhā: ajñātam [4: jg], ajñātam [4: rl], kanyā [4: mg] atha vā kanyā [4: mg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [4: sl] (? 2 eva pādāḥ yuktāḥ)	1
		rucirā [13: jBsjg] (? 3 eva pādāḥ yuktāḥ)	1
āryā (12, 18, 12, 15)	1
		na kiṃcid adhyavasitam	1
		upajāti pratiṣṭhā: ajñātam [4: yl], ajñātam [4: jg], ajñātam [4: rg], ajñātam [4: nl]	1
